N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.78316003043368,0.6923513652523655,0.6970012855847935,0.004722550177095631,0.34746584584246926,0.008752010415275333
model_2,500,2,1,0.7943190464113619,0.6955092981843808,0.7184257957348574,0.05785123966942149,0.3246475575327185,0.09098948635565579
model_3,500,3,1,0.786457012427086,0.6461350673045902,0.6960628162743402,0.009445100354191263,0.13513380558835106,0.017617647610691217
model_4,500,1,2,0.844281004311438,0.8016581828578223,0.8075191442477819,0.3010625737898465,0.6020507070971456,0.3898547600599271
model_5,500,2,2,0.8336292163327416,0.7970473183914447,0.7905839801848453,0.23730814639905548,0.6449198818283295,0.34271016043822683
model_6,500,3,2,0.8584833882830333,0.847454513428565,0.8300931767223557,0.36481700118063753,0.7506336610403596,0.4598950653830784
model_7,800,1,2,0.8569617042860765,0.8101767908411415,0.8279916293091455,0.36363636363636365,0.5467744402532257,0.43433360548031774
model_8,800,2,2,0.870910474258179,0.8545859297250634,0.8494974878166899,0.4427390791027155,0.7415149103190547,0.5252535924875852
model_9,800,3,2,0.8523966522952067,0.8455053858635451,0.8181771915752437,0.3234946871310508,0.7847689070995977,0.4248987290692875
